Date,Zone,Area_Type,Water_Supplied,Water_Consumed,Population
1970-01-01 00:00:00.000000001,Zone A,Residential,109.83,109.83,50000
1970-01-01 00:00:00.000000002,Zone B,Commercial,62.34,62.34,60000
1970-01-01 00:00:00.000000003,Zone C,Industrial,175.54,175.54,70000
1970-01-01 00:00:00.000000004,Zone A,Residential,390.07,390.07,50000
1970-01-01 00:00:00.000000005,Zone B,Commercial,103.18,103.18,60000
1970-01-01 00:00:00.000000006,Zone C,Industrial,73.42,73.42,70000
1970-01-01 00:00:00.000000007,Zone A,Residential,288.39,288.39,50000
1970-01-01 00:00:00.000000008,Zone B,Commercial,128.74,128.74,60000
1970-01-01 00:00:00.000000009,Zone C,Industrial,367.94,367.94,70000
1970-01-01 00:00:00.000000010,Zone A,Residential,29.16,29.16,50000
1970-01-01 00:00:00.000000011,Zone B,Commercial,64.38,64.38,60000
1970-01-01 00:00:00.000000012,Zone C,Industrial,141.98,141.98,70000
1970-01-01 00:00:00.000000013,Zone A,Residential,64.13,64.13,50000
1970-01-01 00:00:00.000000014,Zone B,Commercial,214.97,214.97,60000
1970-01-01 00:00:00.000000014,Zone C,Industrial,47.53,47.53,70000
1970-01-01 00:00:00.000000015,Zone A,Residential,137.09,137.09,50000
1970-01-01 00:00:00.000000016,Zone B,Commercial,87.82,87.82,60000
1970-01-01 00:00:00.000000017,Zone C,Industrial,127.76,127.76,70000
1970-01-01 00:00:00.000000018,Zone A,Residential,94.2,94.2,50000
1970-01-01 00:00:00.000000019,Zone B,Commercial,86.5,86.5,60000
1970-01-01 00:00:00.000000020,Zone C,Industrial,68.48,68.48,70000
1970-01-01 00:00:00.000000021,Zone A,Residential,159.35,159.35,50000
1970-01-01 00:00:00.000000022,Zone B,Commercial,77.11,77.11,60000
1970-01-01 00:00:00.000000023,Zone C,Industrial,186.34,186.34,70000
1970-01-01 00:00:00.000000024,Zone A,Residential,244.34,244.34,50000
1970-01-01 00:00:00.000000025,Zone B,Commercial,97.26,97.26,60000
1970-01-01 00:00:00.000000026,Zone C,Industrial,248.54,248.54,70000
1970-01-01 00:00:00.000000027,Zone A,Residential,276.53,276.53,50000
1970-01-01 00:00:00.000000028,Zone B,Commercial,177.04,177.04,60000
1970-01-01 00:00:00.000000029,Zone C,Industrial,128.1,128.1,70000
1970-01-01 00:00:00.000000030,Zone A,Residential,130.99,130.99,50000
1970-01-01 00:00:00.000000031,Zone B,Commercial,55.09,55.09,60000
1970-01-01 00:00:00.000000032,Zone C,Industrial,104.36,104.36,70000
1970-01-01 00:00:00.000000033,Zone A,Residential,61.39,61.39,50000
1970-01-01 00:00:00.000000034,Zone B,Commercial,48.9,48.9,60000
1970-01-01 00:00:00.000000035,Zone C,Industrial,77.79,77.79,70000
1970-01-01 00:00:00.000000036,Zone A,Residential,88.77,88.77,50000
1970-01-01 00:00:00.000000037,Zone B,Commercial,58.84,58.84,60000
1970-01-01 00:00:00.000000038,Zone C,Industrial,130.96,130.96,70000
1970-01-01 00:00:00.000000039,Zone A,Residential,129.67,129.67,50000
1970-01-01 00:00:00.000000040,Zone B,Commercial,0.0,0.0,60000
1970-01-01 00:00:00.000000041,Zone C,Industrial,215.29,215.29,70000
1970-01-01 00:00:00.000000042,Zone A,Residential,101.78,101.78,50000
1970-01-01 00:00:00.000000043,Zone B,Commercial,137.02,137.02,60000
1970-01-01 00:00:00.000000044,Zone C,Industrial,115.24,115.24,70000
1970-01-01 00:00:00.000000045,Zone A,Residential,107.7,107.7,50000
1970-01-01 00:00:00.000000046,Zone B,Commercial,178.46,178.46,60000
1970-01-01 00:00:00.000000047,Zone C,Industrial,79.58,79.58,70000
1970-01-01 00:00:00.000000048,Zone A,Residential,36.22,36.22,50000
1970-01-01 00:00:00.000000049,Zone B,Commercial,97.35,97.35,60000
1970-01-01 00:00:00.000000050,Zone C,Industrial,388.55,388.55,70000
1970-01-01 00:00:00.000000051,Zone A,Residential,120.74,120.74,50000
1970-01-01 00:00:00.000000052,Zone B,Commercial,170.18,170.18,60000
1970-01-01 00:00:00.000000053,Zone C,Industrial,209.18,209.18,70000
1970-01-01 00:00:00.000000054,Zone A,Residential,335.12,335.12,50000
1970-01-01 00:00:00.000000055,Zone B,Commercial,84.34,84.34,60000
1970-01-01 00:00:00.000000056,Zone C,Industrial,225.08,225.08,70000
1970-01-01 00:00:00.000000057,Zone A,Residential,83.83,83.83,50000
1970-01-01 00:00:00.000000058,Zone B,Commercial,150.16,150.16,60000
1970-01-01 00:00:00.000000059,Zone C,Industrial,157.83,157.83,70000
1970-01-01 00:00:00.000000060,Zone A,Residential,94.35,94.35,50000
1970-01-01 00:00:00.000000061,Zone B,Commercial,79.3,79.3,60000
1970-01-01 00:00:00.000000062,Zone C,Industrial,74.85,74.85,70000
1970-01-01 00:00:00.000000063,Zone A,Residential,119.99,119.99,50000
1970-01-01 00:00:00.000000064,Zone B,Commercial,89.71,89.71,60000
1970-01-01 00:00:00.000000065,Zone C,Industrial,157.98,157.98,70000
1970-01-01 00:00:00.000000066,Zone A,Residential,112.37,112.37,50000
1970-01-01 00:00:00.000000067,Zone B,Commercial,173.28,173.28,60000
1970-01-01 00:00:00.000000068,Zone C,Industrial,115.73,115.73,70000
1970-01-01 00:00:00.000000069,Zone A,Residential,236.24,236.24,50000
1970-01-01 00:00:00.000000070,Zone B,Commercial,198.3,198.3,60000
1970-01-01 00:00:00.000000071,Zone C,Industrial,236.29,236.29,70000
1970-01-01 00:00:00.000000072,Zone A,Residential,225.26,225.26,50000
1970-01-01 00:00:00.000000073,Zone B,Commercial,197.78,197.78,60000
1970-01-01 00:00:00.000000074,Zone C,Industrial,149.28,149.28,70000
1970-01-01 00:00:00.000000075,Zone A,Residential,142.96,142.96,50000
1970-01-01 00:00:00.000000076,Zone B,Commercial,108.83,108.83,60000
1970-01-01 00:00:00.000000077,Zone C,Industrial,113.62,113.62,70000
1970-01-01 00:00:00.000000078,Zone A,Residential,120.07,120.07,50000
1970-01-01 00:00:00.000000079,Zone B,Commercial,76.67,76.67,60000
1970-01-01 00:00:00.000000080,Zone C,Industrial,156.02,156.02,70000
1970-01-01 00:00:00.000000081,Zone A,Residential,197.34,197.34,50000
1970-01-01 00:00:00.000000082,Zone B,Commercial,192.64,192.64,60000
1970-01-01 00:00:00.000000083,Zone C,Industrial,50.9,50.9,70000
1970-01-01 00:00:00.000000084,Zone A,Residential,107.04,107.04,50000
1970-01-01 00:00:00.000000085,Zone B,Commercial,322.1,322.1,60000
1970-01-01 00:00:00.000000085,Zone C,Industrial,71.1,71.1,70000
1970-01-01 00:00:00.000000086,Zone A,Residential,177.27,177.27,50000
1970-01-01 00:00:00.000000087,Zone B,Commercial,92.57,92.57,60000
1970-01-01 00:00:00.000000088,Zone C,Industrial,142.96,142.96,70000
1970-01-01 00:00:00.000000089,Zone A,Residential,126.72,126.72,50000
1970-01-01 00:00:00.000000090,Zone B,Commercial,312.77,312.77,60000
1970-01-01 00:00:00.000000091,Zone C,Industrial,107.74,107.74,70000
