Date,Zone,Area_Type,Water_Supplied,Water_Consumed,Population
2023-01-01,Zone A,Residential,349.21,309.93,50000
2023-01-01,Zone B,Commercial,331.18,297.23,60000
2023-01-01,Zone C,Industrial,307.64,295.32,70000
2023-01-02,Zone A,Residential,343.8,299.15,50000
2023-01-02,Zone B,Commercial,346.24,335.42,60000
2023-01-02,Zone C,Industrial,367.98,319.18,70000
2023-01-03,Zone A,Residential,315.53,298.26,50000
2023-01-03,Zone B,Commercial,335.83,318.5,60000
2023-01-03,Zone C,Industrial,339.76,312.49,70000
2023-01-04,Zone A,Residential,294.82,273.17,50000
2023-01-04,Zone B,Commercial,312.86,291.18,60000
2023-01-04,Zone C,Industrial,342.37,317.72,70000
2023-01-05,Zone A,Residential,362.48,344.49,50000
2023-01-05,Zone B,Commercial,341.23,310.66,60000
2023-01-05,Zone C,Industrial,338.59,304.29,70000
2023-01-06,Zone A,Residential,337.9,321.08,50000
2023-01-06,Zone B,Commercial,344.22,306.85,60000
2023-01-06,Zone C,Industrial,340.63,313.03,70000
2023-01-07,Zone A,Residential,333.58,322.2,50000
2023-01-07,Zone B,Commercial,347.69,301.32,60000
2023-01-07,Zone C,Industrial,361.39,338.92,70000
2023-01-08,Zone A,Residential,332.38,301.58,50000
2023-01-08,Zone B,Commercial,348.22,299.43,60000
2023-01-08,Zone C,Industrial,370.94,329.93,70000
2023-01-09,Zone A,Residential,357.73,344.19,50000
2023-01-09,Zone B,Commercial,350.69,332.85,60000
2023-01-09,Zone C,Industrial,352.65,327.11,70000
2023-01-10,Zone A,Residential,347.56,326.71,50000
2023-01-10,Zone B,Commercial,344.76,323.52,60000
2023-01-10,Zone C,Industrial,385.58,353.87,70000
2023-01-11,Zone A,Residential,355.38,342.4,50000
2023-01-11,Zone B,Commercial,377.69,328.22,60000
2023-01-11,Zone C,Industrial,332.6,322.38,70000
2023-01-12,Zone A,Residential,393.82,351.2,50000
2023-01-12,Zone B,Commercial,400.44,359.59,60000
2023-01-12,Zone C,Industrial,370.55,357.59,70000
2023-01-13,Zone A,Residential,369.61,325.08,50000
2023-01-13,Zone B,Commercial,370.62,335.68,60000
2023-01-13,Zone C,Industrial,354.72,332.28,70000
2023-01-14,Zone A,Residential,363.9,340.9,50000
2023-01-14,Zone B,Commercial,406.35,360.86,60000
2023-01-14,Zone C,Industrial,400.62,371.73,70000
2023-01-15,Zone A,Residential,394.84,354.41,50000
2023-01-15,Zone B,Commercial,366.73,334.28,60000
2023-01-15,Zone C,Industrial,377.37,346.46,70000
2023-01-16,Zone A,Residential,407.97,380.87,50000
2023-01-16,Zone B,Commercial,373.89,351.31,60000
2023-01-16,Zone C,Industrial,373.94,343.59,70000
2023-01-17,Zone A,Residential,373.8,347.39,50000
2023-01-17,Zone B,Commercial,399.14,358.92,60000
2023-01-17,Zone C,Industrial,382.8,335.61,70000
2023-01-18,Zone A,Residential,386.08,343.76,50000
2023-01-18,Zone B,Commercial,414.25,372.1,60000
2023-01-18,Zone C,Industrial,377.83,360.37,70000
2023-01-19,Zone A,Residential,399.84,357.54,50000
2023-01-19,Zone B,Commercial,420.82,374.97,60000
2023-01-19,Zone C,Industrial,360.68,341.56,70000
2023-01-20,Zone A,Residential,377.74,350.65,50000
2023-01-20,Zone B,Commercial,373.41,363.13,60000
2023-01-20,Zone C,Industrial,392.86,362.43,70000
2023-01-21,Zone A,Residential,345.08,330.29,50000
2023-01-21,Zone B,Commercial,373.69,350.18,60000
2023-01-21,Zone C,Industrial,386.12,355.37,70000
2023-01-22,Zone A,Residential,405.97,367.85,50000
